AA01-1,Metal,1,Metal,"",en
AA02-4,Aluminium,1,Aluminium,"",en
AA03-7,Bronze,1,Bronze,"",en
AA04-0,Copper,1,Copper,"",en
AA05-3,Iron,1,Iron,"",en
AA06-6,Lead,1,Lead,"",en
AA07-9,Nickel,1,Nickel,"",en
AA08-2,Tin,1,Tin,"",en
AA09-5,Zinc,1,Zinc,"",en
AA10-8,Alloy,1,Alloy,"",en
AA11-1,Steel,1,Steel,"",en
AA12-4,Carbon-steel,1,Carbon-steel,"",en
AA13-7,Vanadium,1,Vanadium,"",en
AA14-0,Chromium,1,Chromium,"",en
AA15-3,Manganese,1,Manganese,"",en
AA16-6,Cobalt,1,Cobalt,"",en
AA17-9,Yttrium,1,Yttrium,"",en
AA18-2,Zirconium,1,Zirconium,"",en
AA19-5,Molybdenum,1,Molybdenum,"",en
AA20-8,Technetium,1,Technetium,"",en
AA21-1,Ruthenium,1,Ruthenium,"",en
AA22-4,Rhodium,1,Rhodium,"",en
AA23-7,Cadmium,1,Cadmium,"",en
AA24-0,Lutetium,1,Lutetium,"",en
AA25-3,Hafnium,1,Hafnium,"",en
AA26-6,Tantalum,1,Tantalum,"",en
AA27-9,Tungsten,1,Tungsten,"",en
AA28-2,Iridium,1,Iridium,"",en
AA29-5,Gallium,1,Gallium,"",en
AA30-8,Indium,1,Indium,"",en
AA31-1,Thallium,1,Thallium,"",en
AA32-4,Barium,1,Barium,"",en
AA33-7,Caesium,1,Caesium,"",en
AA34-0,Strontium,1,Strontium,"",en
AA35-3,Rubidium,1,Rubidium,"",en
AA36-6,Calcium,1,Calcium,"",en
AA37-9,Potassium,1,Potassium,"",en
AA38-2,Sodium,1,Sodium,"",en
AA39-5,Lithium,1,Lithium,"",en
AA40-8,Niobium,1,Niobium,"",en
AA41-1,Osmium,1,Osmium,"",en
AA42-4,Rhenium,1,Rhenium,"",en
AA43-7,Palladium,1,Palladium,"",en
AA44-0,Brass,1,Brass,"",en
AA45-3,Gold,1,Gold,"",en
AA46-6,Silver,1,Silver,"",en
AA47-9,Platinum,1,Platinum,"",en
AA48-2,Magnesium,1,Magnesium,"",en
AB02-5,Ceramic,1,Ceramic,"",en
AB03-8,Porcelain or china ceramic,1,Porcelain or china ceramic,"",en
AB04-1,Clay,1,Clay,"",en
AB05-4,Concrete,1,Concrete,"",en
AB06-7,Plastic,1,Plastic,"",en
AB07-0,Polyester,1,Polyester,"",en
AB08-3,Polyethene (Polyethylene),1,Polyethene (Polyethylene),"",en
AB09-6,Polystyrene,1,Polystyrene,"",en
AB11-2,PVC,1,PVC,"",en
AB12-5,Rubber,1,Rubber,"",en
AB13-8,Wooden,1,Wooden,"",en
AB14-1,Coniferous wood,1,Coniferous wood,"",en
AB15-4,Tropical wood,1,Tropical wood,"",en
AB16-7,Bamboo,1,Bamboo,"",en
AB17-0,Cork,1,Cork,"",en
AB18-3,Paper,1,Paper,"",en
AB19-6,Leather,1,Leather,"",en
AB20-9,Fibreglass,1,Fibreglass,"",en
AB21-2,Glass,1,Glass,"",en
AB22-5,Glass inners,1,Glass inners,"",en
AB23-8,Glass parts,1,Glass parts,"",en
AB24-1,Textile,1,Textile,"",en
AB25-4,Synthetic,1,Synthetic,"",en
AB26-7,Timber,1,Timber,"",en
AB27-0,Stone,1,Stone,"",en
AB28-3,Marble,1,Marble,"",en
AB29-6,Precious stones,1,Precious stones,"",en
AB30-9,Wool,1,Wool,"",en
AB31-2,Silk,1,Silk,"",en
AB32-5,Linen,1,Linen,"",en
AB33-8,Cotton,1,Cotton,"",en
AB34-1,Terrazzo,1,Terrazzo,"",en
AB35-4,Granite,1,Granite,"",en
AB36-7,Slate,1,Slate,"",en
AB37-0,Carbon,1,Carbon,"",en
BA01-2,Live,1,Live,"",en
BA02-5,Natural,1,Natural,"",en
BA03-8,Artificial,1,Artificial,"",en
BA04-1,Fresh,1,Fresh,"",en
BA05-4,Cold,1,Cold,"",en
BA06-7,Hot,1,Hot,"",en
BA07-0,Liquid,1,Liquid,"",en
BA08-3,Solid,1,Solid,"",en
BA09-6,Gas,1,Gas,"",en
BA10-9,Crude,1,Crude,"",en
BA11-2,Dry,1,Dry,"",en
BA12-5,Hard,1,Hard,"",en
BA13-8,Soft,1,Soft,"",en
BA14-1,Dust/powder,1,Dust/powder,"",en
BA15-4,Residues,1,Residues,"",en
BA16-7,Flakes,1,Flakes,"",en
BA17-0,Bars,1,Bars,"",en
BA18-3,Ash,1,Ash,"",en
BA19-6,Granules,1,Granules,"",en
BA20-9,Ingots,1,Ingots,"",en
BA22-5,Rods,1,Rods,"",en
BA23-8,Unwrought,1,Unwrought,"",en
BA24-1,Frozen,1,Frozen,"",en
BA25-4,Deep-frozen,1,Deep-frozen,"",en
BA26-7,Folded,1,Folded,"",en
BA27-0,Forged,1,Forged,"",en
BA28-3,Freeze-dried,1,Freeze-dried,"",en
BA29-6,Flat-rolled,1,Flat-rolled,"",en
BA30-9,Dried,1,Dried,"",en
BA31-2,Grated,1,Grated,"",en
BA32-5,Concentrated,1,Concentrated,"",en
BA33-8,Chilled,1,Chilled,"",en
BA34-1,Coated,1,Coated,"",en
BA35-4,Galvanised,1,Galvanised,"",en
BA36-7,Granulated,1,Granulated,"",en
BA37-0,Hot-rolled,1,Hot-rolled,"",en
BA38-3,Vitrified,1,Vitrified,"",en
BA39-6,Laminated,1,Laminated,"",en
BA40-9,Liquefied,1,Liquefied,"",en
BA41-2,Vulcanised,1,Vulcanised,"",en
BA42-5,Welded,1,Welded,"",en
BA43-8,Prepared,1,Prepared,"",en
BA44-1,Pulverised,1,Pulverised,"",en
BA45-4,Refined,1,Refined,"",en
BA46-7,Remelted,1,Remelted,"",en
BA47-0,Untreated,1,Untreated,"",en
BA48-3,Treated,1,Treated,"",en
BA49-6,Unliquefied,1,Unliquefied,"",en
BA50-9,Unrefined,1,Unrefined,"",en
BA51-2,Semi-finished,1,Semi-finished,"",en
BA52-5,Processed,1,Processed,"",en
BA53-8,Semi-manufactured,1,Semi-manufactured,"",en
BA54-1,Solution,1,Solution,"",en
BB01-3,Non-tubular,1,Non-tubular,"",en
BB02-6,Tubular,1,Tubular,"",en
BB03-9,Round,1,Round,"",en
BB04-2,Rectangular,1,Rectangular,"",en
BB05-5,Square,1,Square,"",en
BB06-8,Triangle,1,Triangle,"",en
BB07-1,Trapezoid,1,Trapezoid,"",en
BC01-4,With metal frames,1,With metal frames,"",en
BC02-7,With plastic frames,1,With plastic frames,"",en
BC03-0,With wooden frames,1,With wooden frames,"",en
BC04-3,Clad with gold,1,Clad with gold,"",en
BC05-6,Clad with platinum,1,Clad with platinum,"",en
BC06-9,Clad with silver,1,Clad with silver,"",en
BC07-2,Steel-framed,1,Steel-framed,"",en
BC08-5,Veneer,1,Veneer,"",en
BC09-8,Non-cast,1,Non-cast,"",en
BC10-1,Upholstered,1,Upholstered,"",en
BC11-4,Printed,1,Printed,"",en
BC12-7,Coloured,1,Coloured,"",en
BC13-0,Impregnated,1,Impregnated,"",en
BC14-3,Prefabricated,1,Prefabricated,"",en
BC15-6,Plastic coated,1,Plastic coated,"",en
BC16-9,In bags,1,In bags,"",en
BC17-2,In blocks,1,In blocks,"",en
BC18-5,In boards,1,In boards,"",en
BC19-8,In brine,1,In brine,"",en
BC20-1,In bulk,1,In bulk,"",en
BC21-4,In cartons,1,In cartons,"",en
BC22-7,In cartridges,1,In cartridges,"",en
BC23-0,In cuts,1,In cuts,"",en
BC24-3,In joints,1,In joints,"",en
BC25-6,In lots,1,In lots,"",en
BC26-9,In oil,1,In oil,"",en
BC27-2,In packets,1,In packets,"",en
BC28-5,In pouches,1,In pouches,"",en
BC29-8,In reams,1,In reams,"",en
BC30-1,In rods,1,In rods,"",en
BC31-4,In rolls,1,In rolls,"",en
BC32-7,In sachets,1,In sachets,"",en
BC33-0,In sacks,1,In sacks,"",en
BC34-3,In sheets,1,In sheets,"",en
BC35-6,In slices,1,In slices,"",en
BC36-9,In solution,1,In solution,"",en
BC37-2,In strips,1,In strips,"",en
BC38-5,In water,1,In water,"",en
BC39-8,Flavoured,1,Flavoured,"",en
BC40-1,Moulded glass,1,Moulded glass,"",en
BC41-4,Canned/tinned,1,Canned/tinned,"",en
BC42-7,Bottled,1,Bottled,"",en
BC43-0,Vacuum-packed,1,Vacuum-packed,"",en
BC44-3,Parboiled,1,Parboiled,"",en
BC45-6,Recycled,1,Recycled,"",en
BC46-9,Sterilised,1,Sterilised,"",en
BC48-5,Toughened,1,Toughened,"",en
CA01-3,Waterproof,1,Waterproof,"",en
CA02-6,Windproof,1,Windproof,"",en
CA03-9,Bullet-proof,1,Bullet-proof,"",en
CA04-2,Fireproof/flameproof,1,Fireproof/flameproof,"",en
CA05-5,Stainless,1,Stainless,"",en
CA06-8,Expandable,1,Expandable,"",en
CA07-1,Insulated,1,Insulated,"",en
CA08-4,Non-insulated,1,Non-insulated,"",en
CA09-7,Refractory,1,Refractory,"",en
CA10-0,Non-refractory,1,Non-refractory,"",en
CA11-3,Reinforced,1,Reinforced,"",en
CA12-6,Wired,1,Wired,"",en
CA13-9,Oil-absorbent,1,Oil-absorbent,"",en
CA14-2,Self-adhesive,1,Self-adhesive,"",en
CA15-5,Ductile,1,Ductile,"",en
CA16-8,Magnetic,1,Magnetic,"",en
CA17-1,Environmentally friendly,1,Environmentally friendly,"",en
CA18-4,GMO free,1,GMO free,"",en
CA19-7,Hormone free,1,Hormone free,"",en
CA20-0,Pesticide free,1,Pesticide free,"",en
CA21-3,Asbestos free,1,Asbestos free,"",en
CA22-6,CFC free,1,CFC free,"",en
CA23-9,Ozone free,1,Ozone free,"",en
CA24-2,PVC free,1,PVC free,"",en
CA25-5,Hybrid,1,Hybrid,"",en
CA26-8,Hydrocarbon free,1,Hydrocarbon free,"",en
CA27-1,NOx free,1,NOx free,"",en
CA28-4,CO free,1,CO free,"",en
CA29-7,CO2 free,1,CO2 free,"",en
CA30-0,Sulphur free,1,Sulphur free,"",en
CA31-3,Euro 0 (fuel),1,Euro 0 (fuel),"",en
CA32-6,Euro 1 (fuel),1,Euro 1 (fuel),"",en
CA33-9,Euro 2 (fuel),1,Euro 2 (fuel),"",en
